frame,tipo_objeto,confianza,track_id,x1,y1,x2,y2,plate,plate_conf,mx1,my1,mx2,my2
33,bus,0.919735312461853,1,1360,158,1712,426,None,0.25347644090652466,218,219,258,228
33,car,0.6427294611930847,2,1304,308,1356,363,No,,,,,
33,car,0.26019904017448425,3,1226,317,1260,341,No,,,,,
33,car,0.12024104595184326,5,1262,310,1302,343,No,,,,,
34,bus,0.9260734915733337,1,1358,160,1701,426,None,0.5575956106185913,214,216,255,226
34,car,0.6257086396217346,2,1303,308,1355,363,No,,,,,
34,car,0.28247734904289246,3,1227,317,1260,341,No,,,,,
34,car,0.12820929288864136,5,1262,310,1299,343,No,,,,,
35,bus,0.9206385612487793,1,1355,161,1694,429,No,,,,,
35,car,0.6164957880973816,2,1302,308,1354,363,No,,,,,
35,car,0.23782651126384735,3,1227,318,1258,342,No,,,,,
35,car,0.12457063049077988,5,1262,310,1295,343,No,,,,,
36,bus,0.9115352034568787,1,1355,163,1691,429,None,0.3280680179595947,206,213,236,220
36,car,0.5972055196762085,2,1302,309,1352,362,No,,,,,
36,car,0.33226722478866577,3,1226,318,1258,342,No,,,,,
36,car,0.13838227093219757,5,1260,310,1294,343,No,,,,,
37,bus,0.9200775027275085,1,1355,166,1681,427,No,,,,,
37,car,0.6001163125038147,2,1302,310,1351,362,No,,,,,
37,car,0.24597501754760742,3,1226,319,1257,342,No,,,,,
37,car,0.13009901344776154,5,1259,311,1293,343,No,,,,,
38,bus,0.9190196990966797,1,1354,166,1674,425,No,,,,,
38,car,0.5401870608329773,2,1302,311,1350,362,No,,,,,
38,car,0.11363356560468674,3,1227,317,1257,343,No,,,,,
38,car,0.11737094074487686,5,1259,311,1294,343,No,,,,,
39,bus,0.9081518650054932,1,1352,168,1668,424,No,,,,,
39,car,0.4852185547351837,2,1302,313,1348,362,No,,,,,
39,car,0.10912709683179855,5,1259,311,1294,343,No,,,,,
40,bus,0.9028938412666321,1,1351,167,1661,422,No,,,,,
40,car,0.47551754117012024,2,1302,314,1347,361,No,,,,,
40,car,0.10651511698961258,5,1259,311,1293,342,No,,,,,
41,bus,0.9093589186668396,1,1349,169,1655,421,No,,,,,
41,car,0.4481625556945801,2,1302,314,1347,362,No,,,,,
42,bus,0.9246644973754883,1,1349,172,1649,417,No,,,,,
42,car,0.5108045935630798,2,1303,315,1345,360,No,,,,,
43,bus,0.931888222694397,1,1346,175,1644,416,No,,,,,
43,car,0.461527019739151,2,1302,316,1344,360,No,,,,,
44,bus,0.9286054968833923,1,1344,176,1637,415,No,,,,,
44,car,0.5337620377540588,2,1302,316,1342,361,No,,,,,
45,bus,0.9289512634277344,1,1343,178,1635,414,No,,,,,
45,car,0.4197113513946533,2,1300,316,1341,361,No,,,,,
46,bus,0.9199947714805603,1,1342,179,1630,412,No,,,,,
46,car,0.3780040442943573,2,1300,315,1340,361,No,,,,,
47,bus,0.9226674437522888,1,1341,181,1626,412,No,,,,,
47,car,0.37516507506370544,2,1300,313,1340,359,No,,,,,
48,bus,0.9172414541244507,1,1341,182,1623,413,No,,,,,
48,car,0.3110899329185486,2,1300,313,1339,358,No,,,,,
49,bus,0.9206550121307373,1,1340,184,1615,413,No,,,,,
49,car,0.2817293405532837,2,1298,314,1338,357,No,,,,,
50,bus,0.9157042503356934,1,1340,185,1612,412,No,,,,,
50,car,0.27458325028419495,2,1297,315,1338,357,No,,,,,
51,bus,0.9254071712493896,1,1340,188,1603,411,No,,,,,
51,car,0.2953132688999176,2,1296,316,1338,359,No,,,,,
52,bus,0.9387627243995667,1,1337,188,1598,411,No,,,,,
52,car,0.28549739718437195,2,1295,318,1337,359,No,,,,,
53,bus,0.9230119585990906,1,1336,189,1595,411,No,,,,,
53,car,0.27763494849205017,2,1294,319,1337,361,No,,,,,
54,bus,0.9220375418663025,1,1335,190,1591,411,No,,,,,
54,car,0.22021764516830444,2,1293,318,1337,362,No,,,,,
55,bus,0.919137716293335,1,1334,191,1591,409,No,,,,,
55,car,0.19374927878379822,2,1293,314,1336,363,No,,,,,
56,bus,0.9008741974830627,1,1334,191,1584,409,No,,,,,
56,car,0.19327373802661896,2,1293,313,1336,361,No,,,,,
57,bus,0.9047497510910034,1,1334,192,1579,408,No,,,,,
57,car,0.16544216871261597,2,1293,312,1336,359,No,,,,,
58,bus,0.9099917411804199,1,1334,192,1575,407,No,,,,,
58,car,0.1730039417743683,2,1292,312,1333,356,No,,,,,
59,bus,0.9141162633895874,1,1333,193,1570,406,No,,,,,
59,car,0.19244374334812164,2,1292,313,1331,355,No,,,,,
60,bus,0.9049919247627258,1,1332,195,1567,404,No,,,,,
60,car,0.2273455262184143,2,1290,314,1330,356,No,,,,,
61,bus,0.8941501379013062,1,1333,195,1563,404,No,,,,,
61,car,0.22991779446601868,2,1290,315,1329,356,No,,,,,
62,bus,0.9089821577072144,1,1333,196,1561,404,No,,,,,
62,car,0.2965969443321228,2,1289,318,1328,357,No,,,,,
63,bus,0.9010423421859741,1,1333,198,1555,405,No,,,,,
63,car,0.3808419108390808,2,1289,321,1329,358,No,,,,,
64,bus,0.8805816769599915,1,1330,198,1551,405,No,,,,,
64,car,0.40723809599876404,2,1289,321,1328,358,No,,,,,
65,bus,0.8668619990348816,1,1328,198,1548,403,No,,,,,
65,car,0.4346977770328522,2,1288,319,1327,358,No,,,,,
66,bus,0.8437817096710205,1,1327,199,1543,401,No,,,,,
66,car,0.4385635256767273,2,1288,319,1326,359,No,,,,,
67,bus,0.8056723475456238,1,1326,200,1539,400,No,,,,,
67,car,0.48017823696136475,2,1287,319,1326,360,No,,,,,
68,bus,0.7634546756744385,1,1325,201,1536,397,No,,,,,
68,car,0.4552021920681,2,1287,319,1325,359,No,,,,,
69,bus,0.7675215601921082,1,1324,202,1533,396,No,,,,,
69,car,0.4666213095188141,2,1287,320,1325,359,No,,,,,
70,bus,0.7433136105537415,1,1323,204,1530,395,No,,,,,
70,car,0.5087178349494934,2,1286,320,1326,360,No,,,,,
71,bus,0.757664144039154,1,1324,205,1527,397,No,,,,,
71,car,0.44119423627853394,2,1286,319,1326,358,No,,,,,
72,bus,0.7598265409469604,1,1322,205,1524,396,No,,,,,
72,car,0.5177868604660034,2,1286,319,1324,358,No,,,,,
73,bus,0.7683765888214111,1,1320,208,1523,394,No,,,,,
73,car,0.6030756235122681,2,1286,319,1323,358,No,,,,,
74,bus,0.7849101424217224,1,1320,209,1520,393,No,,,,,
74,car,0.5911930203437805,2,1286,320,1323,357,',0.26471054553985596,32,0,36,11
75,bus,0.7735459804534912,1,1320,210,1516,392,No,,,,,
75,car,0.5855416655540466,2,1285,321,1322,356,No,,,,,
76,bus,0.782062292098999,1,1319,210,1513,392,No,,,,,
76,car,0.5252946019172668,2,1285,321,1321,355,No,,,,,
77,bus,0.7469209432601929,1,1319,211,1510,391,No,,,,,
77,car,0.5082004070281982,2,1285,317,1320,356,No,,,,,
78,bus,0.6812337040901184,1,1318,212,1507,391,No,,,,,
78,car,0.5484392046928406,2,1285,316,1318,356,No,,,,,
79,bus,0.6838272213935852,1,1318,212,1505,390,No,,,,,
79,car,0.5070462226867676,2,1285,313,1318,356,No,,,,,
80,bus,0.6093543767929077,1,1317,213,1503,390,No,,,,,
80,car,0.4326813220977783,2,1284,311,1318,355,No,,,,,
81,bus,0.768933892250061,1,1316,214,1500,390,No,,,,,
81,car,0.39897048473358154,2,1284,311,1318,356,No,,,,,
82,bus,0.7907284498214722,1,1316,215,1499,389,No,,,,,
82,car,0.37319695949554443,2,1284,312,1317,356,No,,,,,
83,bus,0.7761899828910828,1,1316,215,1497,390,No,,,,,
83,car,0.3627392649650574,2,1284,313,1316,356,No,,,,,
84,bus,0.7750660181045532,1,1314,215,1495,389,No,,,,,
84,car,0.3798172175884247,2,1283,313,1315,355,No,,,,,
85,bus,0.7371515035629272,1,1314,215,1491,388,No,,,,,
85,car,0.30642592906951904,2,1284,310,1315,354,No,,,,,
86,bus,0.7066482901573181,1,1314,216,1489,388,No,,,,,
86,car,0.336018443107605,2,1284,308,1315,354,No,,,,,
87,bus,0.6601409316062927,1,1316,216,1486,387,No,,,,,
87,car,0.24608434736728668,2,1284,308,1314,354,No,,,,,
88,bus,0.5098420977592468,1,1316,216,1485,386,No,,,,,
88,car,0.2329627126455307,2,1283,308,1314,353,No,,,,,
89,bus,0.5740452408790588,1,1315,216,1482,387,No,,,,,
89,car,0.313909649848938,2,1284,308,1314,352,No,,,,,
89,car,0.3663361966609955,41,1463,318,1515,379,No,,,,,
90,bus,0.6163018941879272,1,1314,217,1480,385,No,,,,,
90,car,0.34315726161003113,2,1283,306,1314,351,No,,,,,
90,car,0.2950595021247864,41,1463,319,1516,380,No,,,,,
91,car,0.3032687306404114,2,1282,307,1313,352,No,,,,,
91,car,0.45388704538345337,41,1458,318,1516,381,No,,,,,
92,car,0.2927885949611664,2,1280,310,1313,354,No,,,,,
92,car,0.4456482529640198,41,1459,317,1515,379,No,,,,,
92,bus,0.46816539764404297,1,1313,219,1477,383,No,,,,,
93,car,0.2753085196018219,2,1280,311,1312,354,No,,,,,
93,car,0.558380126953125,41,1456,319,1515,379,No,,,,,
93,bus,0.6853323578834534,1,1314,220,1475,382,No,,,,,
94,car,0.23996244370937347,2,1280,311,1312,353,No,,,,,
94,car,0.5226935148239136,41,1454,319,1514,379,No,,,,,
94,bus,0.5189045071601868,1,1312,220,1472,382,No,,,,,
95,car,0.2928891181945801,2,1278,308,1312,352,No,,,,,
95,car,0.5858452320098877,41,1453,319,1514,379,No,,,,,
95,bus,0.3295876681804657,1,1311,222,1470,381,No,,,,,
95,person,0.6100871562957764,42,0,249,41,478,No,,,,,
95,person,0.46700379252433777,44,0,248,27,482,No,,,,,
96,car,0.2565075755119324,2,1277,306,1312,352,No,,,,,
96,car,0.614973783493042,41,1451,319,1513,379,No,,,,,
96,bus,0.5207072496414185,1,1312,223,1467,381,No,,,,,
96,person,0.7594134211540222,42,0,237,53,486,No,,,,,
96,person,0.20469807088375092,44,0,239,35,494,No,,,,,
97,car,0.10475993156433105,2,1277,302,1311,351,No,,,,,
97,car,0.7251201272010803,41,1449,319,1513,381,No,,,,,
97,bus,0.7012573480606079,1,1311,223,1464,381,No,,,,,
97,person,0.7923621535301208,42,0,234,60,488,No,,,,,
98,car,0.1224329024553299,2,1276,300,1311,350,No,,,,,
98,car,0.7103734612464905,41,1449,320,1514,381,No,,,,,
98,bus,0.7532911896705627,1,1310,224,1463,380,No,,,,,
98,person,0.8343817591667175,42,0,231,68,490,No,,,,,
99,car,0.11651580035686493,2,1276,300,1311,348,No,,,,,
99,car,0.7208024263381958,41,1446,320,1514,381,No,,,,,
99,bus,0.7263232469558716,1,1310,226,1462,380,No,,,,,
99,person,0.824665904045105,42,0,232,73,491,No,,,,,
100,car,0.12844301760196686,2,1277,299,1311,347,No,,,,,
100,car,0.7121763229370117,41,1443,320,1514,381,No,,,,,
100,bus,0.7834307551383972,1,1309,226,1460,380,No,,,,,
100,person,0.8246329426765442,42,0,235,77,492,No,,,,,
101,car,0.6714938879013062,41,1438,320,1515,381,No,,,,,
101,bus,0.8084102272987366,1,1308,226,1459,378,No,,,,,
101,person,0.8338770270347595,42,0,234,78,494,No,,,,,
102,car,0.698243260383606,41,1436,320,1516,381,No,,,,,
102,bus,0.7003952860832214,1,1308,227,1458,379,No,,,,,
102,person,0.8624065518379211,42,0,233,79,497,No,,,,,
103,car,0.6960075497627258,41,1435,320,1517,382,No,,,,,
103,bus,0.7826488614082336,1,1308,228,1457,378,No,,,,,
103,person,0.8514044284820557,42,0,231,83,495,No,,,,,
104,car,0.7170886993408203,41,1435,320,1518,382,No,,,,,
104,bus,0.7633957862854004,1,1309,229,1456,379,No,,,,,
104,person,0.8814416527748108,42,0,230,89,495,No,,,,,
105,car,0.7265406847000122,41,1435,320,1518,382,No,,,,,
105,bus,0.6207760572433472,1,1309,229,1456,379,No,,,,,
105,person,0.8319211602210999,42,2,232,96,492,No,,,,,
106,car,0.7277793884277344,41,1435,320,1519,382,No,,,,,
106,bus,0.7718080282211304,1,1308,229,1453,379,No,,,,,
106,person,0.8574294447898865,42,9,230,105,492,No,,,,,
107,car,0.7362744808197021,41,1434,320,1519,382,No,,,,,
107,bus,0.7504274249076843,1,1308,230,1450,379,No,,,,,
107,person,0.8772217035293579,42,19,228,114,492,No,,,,,
108,car,0.7311462759971619,41,1433,320,1519,382,No,,,,,
108,bus,0.657978355884552,1,1308,232,1446,378,No,,,,,
108,person,0.875311553478241,42,26,228,131,492,No,,,,,
108,car,0.40688222646713257,48,1263,312,1298,347,No,,,,,
109,car,0.7310876846313477,41,1433,320,1519,381,No,,,,,
109,bus,0.6536571383476257,1,1307,232,1445,378,No,,,,,
109,person,0.8498765826225281,42,30,229,147,491,No,,,,,
109,car,0.4273430407047272,48,1262,313,1299,348,No,,,,,
110,car,0.7440908551216125,41,1431,320,1518,381,No,,,,,
110,bus,0.7609423995018005,1,1304,232,1445,378,No,,,,,
110,person,0.864086925983429,42,34,230,157,490,No,,,,,
110,car,0.4601266086101532,48,1262,312,1298,348,No,,,,,
111,car,0.7567513585090637,41,1431,321,1518,381,No,,,,,
111,bus,0.7546947002410889,1,1303,233,1443,377,No,,,,,
111,person,0.86912602186203,42,38,232,164,488,No,,,,,
111,car,0.5329172611236572,48,1263,312,1298,347,No,,,,,
112,car,0.7583622336387634,41,1430,321,1518,381,No,,,,,
112,bus,0.6953117251396179,1,1301,233,1440,377,No,,,,,
112,person,0.8632663488388062,42,40,234,165,487,No,,,,,
112,car,0.5092557668685913,48,1263,312,1298,348,No,,,,,
113,car,0.768198549747467,41,1428,321,1517,381,No,,,,,
113,bus,0.5986770391464233,1,1298,233,1437,377,No,,,,,
113,person,0.8516789078712463,42,40,239,169,487,No,,,,,
113,car,0.506409764289856,48,1263,312,1297,348,No,,,,,
114,car,0.7780104279518127,41,1428,321,1517,382,No,,,,,
114,bus,0.507175862789154,1,1297,234,1435,377,No,,,,,
114,person,0.8457330465316772,42,45,241,170,488,No,,,,,
114,car,0.5138599872589111,48,1262,312,1296,348,No,,,,,
115,car,0.7961881160736084,41,1425,320,1517,382,No,,,,,
115,bus,0.28302547335624695,1,1294,235,1434,377,No,,,,,
115,person,0.8342965245246887,42,51,240,170,490,No,,,,,
115,car,0.4658898115158081,48,1262,312,1294,347,No,,,,,
116,car,0.7884120345115662,41,1424,321,1517,382,No,,,,,
116,bus,0.4470137357711792,1,1294,235,1431,376,No,,,,,
116,person,0.8403891921043396,42,60,240,171,488,No,,,,,
116,car,0.43513116240501404,48,1262,311,1294,347,No,,,,,
117,car,0.7874798774719238,41,1421,321,1517,382,No,,,,,
117,bus,0.3831561207771301,1,1294,235,1430,374,No,,,,,
117,person,0.8089146018028259,42,74,239,172,485,No,,,,,
117,car,0.357409805059433,48,1262,312,1293,348,No,,,,,
118,car,0.797293484210968,41,1420,320,1517,382,No,,,,,
118,bus,0.5590149760246277,1,1292,236,1429,375,No,,,,,
118,person,0.7905351519584656,42,87,238,173,482,No,,,,,
118,car,0.34744760394096375,48,1260,312,1292,346,No,,,,,
119,car,0.7998881936073303,41,1420,320,1516,382,No,,,,,
119,bus,0.608150064945221,1,1291,236,1428,374,No,,,,,
119,person,0.7522338628768921,42,95,238,174,481,No,,,,,
119,car,0.41158726811408997,48,1259,312,1291,346,No,,,,,
120,car,0.7972286343574524,41,1418,321,1516,382,No,,,,,
120,bus,0.6470867991447449,1,1291,237,1428,374,No,,,,,
120,person,0.7274247407913208,42,101,240,180,479,No,,,,,
120,car,0.43134087324142456,48,1259,313,1291,347,No,,,,,
121,car,0.7643476724624634,41,1419,321,1516,382,No,,,,,
121,bus,0.6806995868682861,1,1290,237,1427,374,No,,,,,
121,person,0.7708356380462646,42,107,239,184,479,No,,,,,
121,car,0.38913774490356445,48,1257,314,1291,348,No,,,,,
122,car,0.7453323006629944,41,1417,321,1517,382,No,,,,,
122,bus,0.6811726093292236,1,1290,238,1427,373,No,,,,,
122,person,0.7686066627502441,42,111,241,191,480,No,,,,,
122,car,0.29998043179512024,48,1257,314,1291,347,No,,,,,
123,car,0.7385427355766296,41,1418,321,1517,382,No,,,,,
123,bus,0.661508321762085,1,1289,238,1427,373,No,,,,,
123,person,0.8113101720809937,42,113,242,200,479,No,,,,,
123,car,0.36896660923957825,48,1255,313,1290,346,No,,,,,
124,car,0.7409294843673706,41,1420,321,1517,382,No,,,,,
124,bus,0.6599054932594299,1,1289,239,1425,373,No,,,,,
124,person,0.8044556975364685,42,115,245,207,478,No,,,,,
124,car,0.40357720851898193,48,1248,314,1289,346,No,,,,,
125,car,0.7501511573791504,41,1421,321,1517,382,No,,,,,
125,bus,0.6537697911262512,1,1288,239,1423,373,No,,,,,
125,person,0.7918279767036438,42,116,248,213,477,No,,,,,
125,car,0.5274558067321777,48,1244,315,1289,346,No,,,,,
126,car,0.7455353736877441,41,1422,322,1517,381,No,,,,,
126,bus,0.6608347296714783,1,1289,239,1421,373,No,,,,,
126,person,0.7937525510787964,42,121,247,217,475,No,,,,,
126,car,0.4834342896938324,48,1242,315,1289,347,No,,,,,
126,car,0.3675646483898163,52,1405,321,1500,377,No,,,,,
127,car,0.7442367076873779,41,1421,322,1516,381,No,,,,,
127,bus,0.6588969230651855,1,1289,239,1419,372,No,,,,,
127,person,0.809252917766571,42,125,242,221,475,No,,,,,
127,car,0.4480453431606293,48,1241,315,1289,347,No,,,,,
127,car,0.39998626708984375,52,1406,321,1490,377,No,,,,,
128,car,0.7416486144065857,41,1422,322,1516,382,No,,,,,
128,bus,0.7158393263816833,1,1289,239,1419,371,No,,,,,
