track_id,tipo_objeto,confianza,flujo
609,car,0.4232175052165985,estatica
612,person,0.1793476641178131,derecha
613,car,0.1572532206773758,derecha
614,car,0.41572651267051697,desconocido
616,car,0.2716951072216034,izquierda
620,person,0.10733801871538162,izquierda
633,person,0.1286190003156662,derecha
659,car,0.46436166763305664,izquierda
662,car,0.11308500915765762,izquierda
669,car,0.10978171974420547,izquierda
671,car,0.2902052700519562,izquierda
673,car,0.478211373090744,izquierda
684,car,0.1140158399939537,izquierda
685,car,0.12182708829641342,izquierda
695,car,0.23621758818626404,izquierda
729,car,0.8737024664878845,izquierda
735,car,0.22569581866264343,izquierda
742,car,0.11351067572832108,izquierda
744,car,0.3291592001914978,derecha
748,car,0.1443314254283905,izquierda
753,car,0.4231444299221039,izquierda
754,car,0.24917666614055634,izquierda
756,person,0.12568053603172302,derecha
758,person,0.10070433467626572,derecha
762,car,0.2772407531738281,izquierda
764,car,0.4274032711982727,derecha
765,person,0.15139929950237274,derecha
770,car,0.23813745379447937,izquierda
780,car,0.108893483877182,derecha
782,car,0.10627923160791397,izquierda
785,car,0.11643395572900772,izquierda
793,car,0.5946188569068909,izquierda
795,car,0.39601320028305054,izquierda
796,car,0.8576815128326416,izquierda
805,car,0.3221614360809326,derecha
807,car,0.395169734954834,izquierda
811,car,0.17610439658164978,izquierda
815,car,0.1775832325220108,izquierda
825,car,0.1193917989730835,izquierda
829,car,0.10376112163066864,izquierda
845,car,0.6926277279853821,derecha
846,car,0.8134191036224365,izquierda
847,car,0.23390813171863556,izquierda
853,car,0.22274555265903473,izquierda
863,car,0.4424094557762146,derecha
866,car,0.11639520525932312,izquierda
868,car,0.1509273201227188,derecha
870,person,0.293989360332489,izquierda
880,car,0.13903991878032684,derecha
890,car,0.10346727818250656,derecha
898,car,0.12456656992435455,izquierda
904,car,0.29161423444747925,izquierda
909,car,0.3743608295917511,desconocido
917,car,0.43362098932266235,izquierda
919,person,0.21336373686790466,derecha
923,person,0.18434634804725647,izquierda
929,car,0.3739135265350342,izquierda
933,car,0.36401528120040894,izquierda
941,car,0.13309457898139954,derecha
942,car,0.11691142618656158,izquierda
944,car,0.12820245325565338,derecha
947,car,0.2069212645292282,derecha
965,car,0.15764135122299194,izquierda
970,car,0.8648936748504639,izquierda
990,car,0.4074786901473999,izquierda
1017,car,0.157932847738266,derecha
1018,person,0.5923260450363159,izquierda
1026,motorbike,0.3803979158401489,derecha
1032,car,0.12093491852283478,derecha
1045,car,0.11787325888872147,derecha
1052,car,0.4679747223854065,derecha
1053,car,0.2679252326488495,derecha
1066,car,0.6465798616409302,derecha
1076,car,0.5168638825416565,izquierda
1077,car,0.27372321486473083,derecha
1080,person,0.10911396890878677,izquierda
1090,motorbike,0.19227735698223114,izquierda
1099,car,0.3902134895324707,izquierda
1101,car,0.1018211618065834,izquierda
1103,person,0.2740081548690796,derecha
1106,car,0.2108220010995865,derecha
1114,car,0.14805224537849426,izquierda
1115,car,0.11805702745914459,estatica
1127,motorbike,0.43894654512405396,derecha
1129,car,0.17314425110816956,derecha
1141,car,0.11211521178483963,derecha
1147,car,0.10111653059720993,derecha
1149,car,0.2583915591239929,derecha
1150,car,0.34134340286254883,derecha
1152,car,0.4820167124271393,desconocido
1154,car,0.11663661152124405,izquierda
1160,car,0.3656378388404846,estatica
1181,car,0.40105608105659485,izquierda
1197,car,0.11332972347736359,izquierda
1206,car,0.8529195785522461,izquierda
1208,car,0.10421235114336014,derecha
1227,person,0.31226491928100586,derecha
1249,person,0.5367031693458557,derecha
1253,car,0.1420074850320816,derecha
1255,person,0.4353165328502655,izquierda
1257,car,0.18721799552440643,derecha
1266,car,0.1350666582584381,izquierda
1278,person,0.3418567478656769,derecha
1283,car,0.11815297603607178,derecha
1295,car,0.8775468468666077,izquierda
1301,car,0.10519500076770782,estatica
1305,person,0.10682536661624908,derecha
1307,car,0.2340669184923172,derecha
1313,car,0.3094455897808075,derecha
1314,car,0.4804779589176178,derecha
1318,car,0.17471285164356232,izquierda
1322,car,0.27947402000427246,izquierda
1325,car,0.11968157440423965,izquierda
1328,car,0.4246191084384918,derecha
1332,car,0.4382948875427246,derecha
1351,car,0.1272784322500229,izquierda
1364,person,0.2600042223930359,derecha
1370,person,0.2462514191865921,derecha
1371,person,0.16009323298931122,derecha
1377,car,0.5421759486198425,izquierda
1378,person,0.14580295979976654,derecha
1391,car,0.1480310708284378,izquierda
1398,car,0.6039922833442688,izquierda
1399,person,0.25175052881240845,derecha
1405,car,0.3375975489616394,derecha
1423,car,0.17611698806285858,derecha
1437,car,0.4328531324863434,derecha
1441,person,0.2325195074081421,izquierda
1450,car,0.4108079969882965,izquierda
1455,person,0.24283362925052643,izquierda
1456,car,0.11174417287111282,derecha
1458,car,0.35935646295547485,izquierda
1461,car,0.46880871057510376,derecha
1470,car,0.23660391569137573,izquierda
1471,car,0.744911253452301,izquierda
1498,bicycle,0.6166218519210815,izquierda
1499,car,0.10257386416196823,derecha
1506,person,0.4401886463165283,izquierda
1513,car,0.21575450897216797,izquierda
1516,motorbike,0.8366601467132568,izquierda
1524,person,0.21091967821121216,derecha
1531,car,0.261363685131073,izquierda
1539,person,0.847528874874115,izquierda
1548,car,0.35232147574424744,derecha
